category,product,images,category_slug,product_slug
金門高粱,金門38度高粱（300ml）,kkl38-300.png,kinmen_kaoliang,kkl38-300
金門高粱,金門38度高粱（600ml）,kkl38-600.png,kinmen_kaoliang,kkl38-600
金門高粱,金門38度高粱（750ml）,kkl38-750.png,kinmen_kaoliang,kkl38-750
金門高粱,金門58度紅標高粱（600ml）,kkl58r-600.png,kinmen_kaoliang,kkl58r-600
金門高粱,金門58度紅標高粱（750ml）,kkl58r-750.png,kinmen_kaoliang,kkl58r-750
金門高粱,金門58度高粱（300ml）,kkl58-300.png,kinmen_kaoliang,kkl58-300
金門高粱,金門58度高粱（600ml）,kkl58-600.png,kinmen_kaoliang,kkl58-600
金門高粱,金門58度高粱（750ml）,kkl58-750.png,kinmen_kaoliang,kkl58-750
金門高粱,金門特優58度高粱,kkl58p.png,kinmen_kaoliang,kkl58p
金門高粱,戰酒黑金龍,wjhjl.png,kinmen_kaoliang,wjhjl
台酒系列,紅標料理米酒（600ml20入）,rcmj-600x20.png,ttl,rcmj-600x20
台酒系列,玉泉清酒,yqsk.png,ttl,yqsk
台酒系列,玉泉紹興酒,yqsh.png,ttl,yqsh
台酒系列,玉泉黃酒,yqhj.png,ttl,yqhj
台酒系列,玉泉紅露酒,yqhl.png,ttl,yqhl
台酒系列,玉泉紅麴葡萄酒,yqhqg.png,ttl,yqhqg
威士忌,三隻猴子,3mky.png,whisky,3mky
威士忌,大摩12年,dm12.png,whisky,dm12
威士忌,大摩15年,dm15.png,whisky,dm15
威士忌,大摩12年雪莉,dm12sh.png,whisky,dm12sh
威士忌,菲迪12年天使雪莉,fd12as.png,whisky,fd12as
威士忌,吉拉12年雪莉,gl12sh.png,whisky,gl12sh
威士忌,百富12年,bf12.png,whisky,bf12
威士忌,百富14年,bf14.png,whisky,bf14
威士忌,格蘭莉威13年,glv13.png,whisky,glv13
威士忌,皇家禮炮21年,rs21.png,whisky,rs21
威士忌,格蘭8年,gl8.png,whisky,gl8
威士忌,格蘭菲迪12年（1000ml）,gf12-1000.png,whisky,gf12-1000
威士忌,格蘭菲迪12年（700ml）,gf12-700.png,whisky,gf12-700
威士忌,格蘭菲迪15年（700ml）,gf15-700.png,whisky,gf15-700
威士忌,格蘭菲迪18年,gf18.png,whisky,gf18
威士忌,軒尼詩 VSOP,hvsop.png,whisky,hvsop
威士忌,麥卡倫雙桶,mcdb.png,whisky,mcdb
威士忌,塔木嶺雪莉三桶,tlsh3.png,whisky,tlsh3
威士忌,塔木嶺玩桶系列,tlwb.png,whisky,tlwb
威士忌,詩貝雪莉12年,sb12sh.png,whisky,sb12sh
