category,product,images,category_slug,product_slug
金門高粱,金門38度高粱（300ml）,,kinmen_kaoliang,kkl38-300
金門高粱,金門38度高粱（600ml）,,kinmen_kaoliang,kkl38-600
金門高粱,金門38度高粱（750ml）,,kinmen_kaoliang,kkl38-750
金門高粱,金門58度紅標高粱（600ml）,,kinmen_kaoliang,kkl58r-600
金門高粱,金門58度紅標高粱（750ml）,,kinmen_kaoliang,kkl58r-750
金門高粱,金門58度高粱（300ml）,,kinmen_kaoliang,kkl58-300
金門高粱,金門58度高粱（600ml）,,kinmen_kaoliang,kkl58-600
金門高粱,金門58度高粱（750ml）,,kinmen_kaoliang,kkl58-750
金門高粱,金門特優58度高粱,,kinmen_kaoliang,kkl58p
金門高粱,戰酒黑金龍,,kinmen_kaoliang,wjhjl
台酒系列,紅標料理米酒（600ml20入）,,ttl,rcmj-600x20
台酒系列,玉泉清酒,,ttl,yqsk
台酒系列,玉泉紹興酒,,ttl,yqsh
台酒系列,玉泉黃酒,,ttl,yqhj
台酒系列,玉泉紅露酒,,ttl,yqhl
台酒系列,玉泉紅麴葡萄酒,,ttl,yqhqg
威士忌,三隻猴子,,whisky,3mky
威士忌,大摩12年,,whisky,dm12
威士忌,大摩15年,,whisky,dm15
威士忌,大摩12年雪莉,,whisky,dm12sh
威士忌,菲迪12年天使雪莉,,whisky,fd12as
威士忌,吉拉12年雪莉,,whisky,gl12sh
威士忌,百富12年,,whisky,bf12
威士忌,百富14年,,whisky,bf14
威士忌,格蘭莉威13年,,whisky,glv13
威士忌,皇家禮炮21年,,whisky,rs21
威士忌,格蘭8年,,whisky,gl8
威士忌,格蘭菲迪12年（1000ml）,,whisky,gf12-1000
威士忌,格蘭菲迪12年（700ml）,,whisky,gf12-700
威士忌,格蘭菲迪15年（700ml）,,whisky,gf15-700
威士忌,格蘭菲迪18年,,whisky,gf18
威士忌,軒尼詩 VSOP,,whisky,hvsop
威士忌,麥卡倫雙桶,,whisky,mcdb
威士忌,塔木嶺雪莉三桶,,whisky,tlsh3
威士忌,塔木嶺玩桶系列,,whisky,tlwb
威士忌,詩貝雪莉12年,,whisky,sb12sh
威士忌,詩貝總裁雪莉,,whisky,sbzzsh
威士忌,蘇格登12年亞洲版(700ml),,whisky,sgd12as-700
威士忌,蘇格登12年亞洲版(1000ml),,whisky,sgd12as-1000
威士忌,蘇格登12年雪莉桶,,whisky,sgd12sh
威士忌,蘇格登12年歐洲版(700ml),,whisky,sgd12eu-700
威士忌,蘇格登12年歐洲版(1000ml),,whisky,sgd12eu-1000
威士忌,蘇格登15年亞洲版,,whisky,sgd15as
威士忌,蘇格登13年貴腐甜酒桶,,whisky,sgd13nf
威士忌,Johnnie walker XR 21年,,whisky,jwxr21
威士忌,Johnnie walker金牌威士忌,,whisky,jwgd
威士忌,Johnnie walker黑牌12年（1000ml）,,whisky,jwbp12-1000
威士忌,Johnnie walker綠牌15年,,whisky,jwgp15
威士忌,Johnnie walker黑牌12年（700ml）,,whisky,jwbp12-700
威士忌,慕赫12年,,whisky,mh12
威士忌,慕赫14年,,whisky,mh14
威士忌,慕赫16年,,whisky,mh16
日本酒,季威士忌(700ml),,japanese_sake,jws-700
日本酒,季威士忌(1000ml),,japanese_sake,jws-1000
日本酒,三得利角瓶,,japanese_sake,stjb
韓式燒酒,初飲初樂原味燒酒,,korean_soju,cycl-o
韓式燒酒,初飲初樂水蜜桃燒酒,,korean_soju,cycl-p
韓式燒酒,初飲初樂蘋果燒酒,,korean_soju,cycl-a
韓式燒酒,初飲初樂零醣燒酒,,korean_soju,cycl-z
韓式燒酒,初飲初樂草莓燒酒,,korean_soju,cycl-s
韓式燒酒,初飲初樂養樂多燒酒,,korean_soju,cycl-y
桶裝生啤酒,金牌台灣啤酒,,keg_beer,tpb
桶裝生啤酒,柏克金德式小麥生啤酒,,keg_beer,bkjwm
桶裝生啤酒,柏克金黃金拉格生啤酒,,keg_beer,bkjgl
桶裝生啤酒,日系啤酒,,keg_beer,jpb
大玻璃瓶啤酒,百威啤酒,,beer_bottles_big,bd
大玻璃瓶啤酒,金樽啤酒,,beer_bottles_big,jzb
